"word","count"
"noun_2513",12
"noun_2515",4
"noun_2516",2
"noun_2517",5
"noun_2518",20
"noun_2519",19
"noun_2520",1
"noun_2521",1
"noun_2523",7
"noun_2526",7
"noun_2527",3
"noun_2528",1
"noun_2529",56
"noun_253",4
"noun_2530",1
"noun_2533",1
"noun_2534",1
"noun_2535",796
"noun_2536",3
"noun_2537",2
"noun_2538",48
"noun_2542",49
"noun_2543",37
"noun_2544",1
"noun_2546",44
"noun_2548",4
"noun_2553",1
"noun_2554",1
"noun_2555",1
"noun_2556",1
"noun_2557",2
"noun_2560",1
"noun_2562",1
"noun_2564",14
"noun_2565",13
"noun_2566",1
"noun_2567",27
"noun_257",4
"noun_2570",12
"noun_2571",1
"noun_2572",1
"noun_2573",2
"noun_2576",9
"noun_2577",1
"noun_2578",1
"noun_2580",1
"noun_2583",339
"noun_2584",13
"noun_2585",2
"noun_2586",2
"noun_2588",20
"noun_2592",1
"noun_2593",43
"noun_2595",1
"noun_2596",23
"noun_2597",1
"noun_2598",38
"noun_2599",12
"noun_26",5
"noun_2600",3
"noun_2601",5
"noun_2604",8
"noun_2605",4
"noun_2609",1
"noun_261",7
"noun_2610",1
"noun_2611",20
"noun_2613",13
"noun_2615",1
"noun_2616",1
"noun_2617",7
"noun_2618",3
"noun_2619",2
"noun_262",1
"noun_2620",1
"noun_2621",14
"noun_2627",1
"noun_2628",13
"noun_2629",3
"noun_2630",2
"noun_2631",3
"noun_2635",7
"noun_2637",3
"noun_2638",1
"noun_264",1
"noun_2640",951
"noun_2641",1
"noun_2643",1
"noun_2644",7
"noun_2645",4
"noun_2646",153
"noun_2648",1
"noun_265",6
"noun_2651",17
"noun_2653",3
"noun_2654",36
"noun_2656",52
"noun_2657",534
"noun_2658",646
"noun_2659",2
"noun_2661",2
"noun_2662",3
"noun_2664",5
"noun_2665",2
"noun_2666",1
"noun_2667",1
"noun_2668",95
"noun_2669",1
"noun_267",1
"noun_2671",219
"noun_2672",1
"noun_2674",2
"noun_2675",1
"noun_2676",1
"noun_2677",18
"noun_2679",8
"noun_2680",2
"noun_2682",1
"noun_2686",3
"noun_2687",13
"noun_2688",4
"noun_2689",12
"noun_269",1
"noun_2690",14
"noun_2692",2287
"noun_2693",1
"noun_2694",2
"noun_2695",1
"noun_2698",15
"noun_2699",2
"noun_27",5
"noun_270",1
"noun_2701",12
"noun_2702",3
"noun_2703",1
"noun_2705",1
"noun_2706",4
"noun_2708",1
"noun_271",8
"noun_2710",10
"noun_2713",1
"noun_2715",17
"noun_2716",63
"noun_2717",1
"noun_272",1
"noun_2720",3
"noun_2721",108
"noun_2722",10
"noun_2723",28
"noun_2724",1
"noun_2725",8
"noun_2726",46
"noun_2727",9
"noun_273",3
"noun_2730",2
"noun_2731",46
"noun_2733",1
"noun_2735",1
"noun_2738",17
"noun_2739",35
"noun_274",3
"noun_2742",6
"noun_2743",1
"noun_2744",1
"noun_2745",1
"noun_2746",1
"noun_2747",1
"noun_2748",1
"noun_2749",3
"noun_275",2
"noun_2750",71
"noun_2751",1
"noun_2752",25
"noun_2753",10
"noun_2755",14
"noun_2756",109
"noun_2758",1
"noun_2759",4
"noun_276",72
"noun_2760",1
"noun_2761",4
"noun_2762",1
"noun_2763",10
"noun_2766",1
"noun_2767",1
"noun_2769",1
"noun_2770",5
"noun_2771",3
"noun_2772",207
"noun_2773",13
"noun_2774",1
"noun_2775",2
"noun_2776",2
"noun_2777",62
"noun_2778",2
"noun_2779",8
"noun_278",8
"noun_2780",4
"noun_2783",7
"noun_2784",1
"noun_2787",1
"noun_2788",1
"noun_2789",1
"noun_279",16
"noun_2790",1
"noun_2791",1
"noun_2793",0
"noun_2799",1
"noun_28",5
"noun_280",1
"noun_2800",9
"noun_2802",1
"noun_2804",3
"noun_2805",4
"noun_2806",10
"noun_2807",1
"noun_2808",41
"noun_2809",1
"noun_281",1
"noun_2810",1
"noun_2811",6
"noun_2812",1
"noun_2814",2
"noun_2816",3
"noun_2818",1
"noun_282",2
"noun_2821",1
"noun_2822",1
"noun_2824",36
"noun_2825",2
"noun_2826",1
"noun_2827",2
"noun_2828",1
"noun_2829",1
"noun_283",2
"noun_2830",1
"noun_2831",2
"noun_2832",1
"noun_2833",2
"noun_2834",1
"noun_2835",69
"noun_2837",59
"noun_2838",2
"noun_2839",1
"noun_284",1
"noun_2840",18
"noun_2841",1
"noun_2842",1
"noun_2843",61
"noun_2844",2
"noun_2846",4
"noun_2847",15
"noun_2848",1
"noun_2849",68
"noun_285",4
"noun_2850",23
"noun_2851",1
"noun_2852",2
"noun_2854",1
"noun_2855",34
"noun_2858",1
"noun_2859",1
"noun_286",1
"noun_2860",72
"noun_2861",3
"noun_2862",2
"noun_2864",2
"noun_2865",15
"noun_2866",1
"noun_2867",2
"noun_2868",1
"noun_2869",12
"noun_287",6
"noun_2871",1
"noun_2873",26
"noun_2874",25
"noun_2875",2
"noun_2878",2
"noun_2879",19
"noun_288",2
"noun_2880",1
"noun_2882",1
"noun_2883",1
"noun_2885",1
"noun_2886",4
"noun_2887",1
"noun_2888",2
"noun_289",2
"noun_2890",62
"noun_2891",7
"noun_2892",1
"noun_2893",21
"noun_2894",1
"noun_2895",1
"noun_2896",1
"noun_2897",1
"noun_2898",0
"noun_29",16
"noun_290",1
"noun_2900",1
"noun_2902",2
"noun_2903",9
