"word","count"
"noun_1761",14
"noun_1762",1
"noun_1763",15
"noun_1764",2
"noun_1765",1
"noun_1766",1
"noun_1767",1
"noun_1768",1
"noun_1769",2
"noun_177",2
"noun_1770",325
"noun_1771",17
"noun_1772",8
"noun_1773",9
"noun_1774",2
"noun_1776",9
"noun_1777",9
"noun_1778",1
"noun_1779",1
"noun_178",2
"noun_1780",8
"noun_1781",1
"noun_1782",53
"noun_1783",4
"noun_1784",1
"noun_1785",1
"noun_1786",9
"noun_1787",3
"noun_1788",1
"noun_1789",1
"noun_179",1
"noun_1790",1
"noun_1791",1
"noun_1792",1
"noun_1793",27
"noun_1794",1
"noun_1795",1
"noun_1796",1
"noun_1797",1
"noun_1798",1
"noun_1799",37
"noun_18",19
"noun_180",9
"noun_1800",4
"noun_1801",2
"noun_1802",5
"noun_1804",9
"noun_1805",5
"noun_1807",3
"noun_1808",10
"noun_1809",1
"noun_181",1
"noun_1810",2
"noun_1811",1
"noun_1812",15
"noun_1813",1
"noun_1814",14
"noun_1815",129
"noun_1816",1
"noun_1817",43
"noun_1818",5
"noun_1819",1
"noun_182",2
"noun_1820",71
"noun_1821",1
"noun_1822",1
"noun_1824",3
"noun_1825",4
"noun_1826",2
"noun_1827",4
"noun_1828",1
"noun_1829",1
"noun_183",1
"noun_1830",1
"noun_1831",1
"noun_1832",1
"noun_1834",29
"noun_1835",10
"noun_1836",45
"noun_1837",5
"noun_1838",5
"noun_1839",1
"noun_184",1
"noun_1840",50
"noun_1841",3
"noun_1842",1
"noun_1843",4
"noun_1844",2
"noun_1845",290
"noun_1846",1
"noun_1847",1
"noun_1849",21
"noun_185",209
"noun_1850",1
"noun_1851",1
"noun_1852",16
"noun_1853",1
"noun_1854",1
"noun_1855",4
"noun_1856",7
"noun_1857",4
"noun_1858",31
"noun_1859",468
"noun_186",1
"noun_1860",2
"noun_1861",6
"noun_1862",46
"noun_1863",3
"noun_1864",1
"noun_1866",3
"noun_1867",496
"noun_1869",49
"noun_187",3468
"noun_1870",8
"noun_1871",1
"noun_1872",13
"noun_1873",4
"noun_1874",4
"noun_1875",3
"noun_1876",4
"noun_1877",17
"noun_1878",1
"noun_1879",6
"noun_188",1
"noun_1880",1
"noun_1881",2
"noun_1882",5
"noun_1883",2
"noun_1884",2456
"noun_1885",1
"noun_1886",2
"noun_1887",1
"noun_1888",8
"noun_1889",1
"noun_189",14
"noun_1892",125
"noun_1893",11
"noun_1895",4
"noun_1896",19
"noun_1897",1
"noun_1898",15
"noun_1899",77
"noun_19",1
"noun_190",16
"noun_1900",12
"noun_1901",6
"noun_1902",1
"noun_1903",11
"noun_1904",2
"noun_1905",2801
"noun_1906",52
"noun_1907",1
"noun_1908",2
"noun_1909",124
"noun_191",3
"noun_1910",2
"noun_1911",1
"noun_1912",1
"noun_1913",2
"noun_1914",2
"noun_1915",2
"noun_1916",1
"noun_1917",12
"noun_1919",7
"noun_192",7
"noun_1920",2
"noun_1922",2
"noun_1923",1
"noun_1924",1
"noun_1925",5
"noun_1926",1
"noun_1927",21
"noun_1928",6
"noun_1929",4
"noun_1930",11
"noun_1931",284
"noun_1932",4
"noun_1933",8
"noun_1934",3
"noun_1935",4
"noun_1936",11
"noun_1937",1
"noun_1938",3
"noun_1939",5
"noun_194",2
"noun_1940",2
"noun_1941",14
"noun_1942",1
"noun_1944",11
"noun_1945",2
"noun_1946",1
"noun_1947",1
"noun_1949",3
"noun_195",5
"noun_1950",2
"noun_1951",3
"noun_1952",1
"noun_1953",3
"noun_1954",2
"noun_1955",1
"noun_1956",5
"noun_1957",1
"noun_1959",1
"noun_196",2
"noun_1960",1
"noun_1961",4
"noun_1962",12
"noun_1963",2
"noun_1964",5
"noun_1965",2
"noun_1966",1
"noun_1967",1
"noun_1968",1
"noun_1969",6
"noun_197",4
"noun_1970",8
"noun_1971",3
"noun_1972",1
"noun_1973",4
"noun_1974",1
"noun_1975",1
"noun_1976",2
"noun_1977",4
"noun_1978",131
"noun_1979",1
"noun_198",9
"noun_1980",32
"noun_1981",4
"noun_1982",1
"noun_1983",1
"noun_1984",4
"noun_1986",1
"noun_1987",2
"noun_1988",1
"noun_1989",7
"noun_199",1
"noun_1990",7
"noun_1994",17
"noun_1995",1
"noun_1996",1
"noun_1997",2
"noun_1998",13
"noun_1999",3
"noun_2",7
"noun_20",1
"noun_2000",1
"noun_2001",1
"noun_2002",22
"noun_2003",5
"noun_2004",1
"noun_2005",5
"noun_2006",1
"noun_2007",1
"noun_2008",2
"noun_2009",1
"noun_2010",29
"noun_2011",2
"noun_2012",9
"noun_2013",14
"noun_2014",1
"noun_2015",5
"noun_2016",2
"noun_2017",4
"noun_2018",1
"noun_2019",1
"noun_202",4
"noun_2021",1
"noun_2022",39
"noun_2023",7
"noun_2024",57
"noun_2025",1
"noun_2026",1
"noun_2027",2
"noun_2028",2
"noun_2029",3
"noun_203",1
"noun_2030",2
"noun_2031",9
"noun_2032",2
"noun_2033",227
"noun_2034",4
"noun_2035",2
"noun_2036",3
"noun_2037",1
"noun_2038",72
"noun_2039",2
"noun_204",44
"noun_2040",1
"noun_2041",11
"noun_2042",1
"noun_2043",1
"noun_2044",17
"noun_2045",3
"noun_2046",15
"noun_2047",1
"noun_2048",2
"noun_2049",20
"noun_205",78
"noun_2050",11
"noun_2051",157
"noun_2052",12
"noun_2053",6
"noun_2054",1
"noun_2055",1
"noun_2056",18
"noun_2057",4
"noun_2058",1
"noun_2059",53
"noun_206",1
"noun_2060",1596
"noun_2061",2
"noun_2062",22
"noun_2063",1
"noun_2065",13
"noun_2067",2
"noun_2068",33
"noun_2069",2
"noun_207",11
"noun_2070",2
"noun_2071",1
"noun_2072",1
"noun_2073",2
"noun_2074",7
"noun_2075",27
"noun_2076",6
"noun_2077",1
"noun_2078",2
"noun_2079",2
"noun_208",12
"noun_2081",1
"noun_2082",1
"noun_2083",2
"noun_2084",1
"noun_2085",86
"noun_2086",7
"noun_2087",1
"noun_2088",4
"noun_209",15
"noun_2090",13
"noun_2091",1
"noun_2092",1
"noun_2093",1
"noun_2094",1
"noun_2095",142
"noun_2096",1
"noun_2097",1
"noun_2098",4
"noun_2099",1
"noun_21",1
"noun_210",1
"noun_2100",4
"noun_2102",1
"noun_2104",15
"noun_2106",2
"noun_2107",1
"noun_2108",18
"noun_2109",7
"noun_211",1
"noun_2110",2
"noun_2111",3
"noun_2112",62
"noun_2113",1
"noun_2114",4
"noun_2115",175
"noun_2117",38
"noun_2118",1
"noun_2119",1
"noun_212",2
"noun_2120",1
"noun_2121",11
"noun_2122",1
"noun_2123",1
"noun_2124",4
"noun_2125",34
"noun_2126",1
"noun_2127",1
"noun_2128",6
"noun_2129",2
"noun_213",4
"noun_2130",2
"noun_2131",3
"noun_2132",2
"noun_2133",2
"noun_2134",2
"noun_2135",4
"noun_2136",1
"noun_2137",1
"noun_2138",53
"noun_2139",3
"noun_214",183
"noun_2140",2
"noun_2141",15
"noun_2143",2
"noun_2144",14
"noun_2145",2
"noun_2146",1
"noun_2149",2
"noun_215",1
"noun_2150",1
"noun_2151",4
"noun_2152",23
"noun_2153",2
"noun_2154",1
"noun_2155",51
"noun_2156",289
"noun_2157",19
"noun_2158",2
"noun_2159",1
"noun_216",6
"noun_2160",1
"noun_2161",1
"noun_2162",4
"noun_2163",9
"noun_2164",1
"noun_2165",162
"noun_2167",1
"noun_2168",20
"noun_2169",8
"noun_217",4
"noun_2170",2
"noun_2171",31
"noun_2172",5
"noun_2173",1
